nodeID nodeLabel
1 NM_001287879.1
2 NM_001288001.1
3 NM_001288103.1
4 NM_001288107.1
5 NM_001288167.1
6 NM_001288228.1
7 NM_001288376.1
8 NM_001288388.1
9 NM_001288424.1
10 XM_006338107.1
11 XM_006338401.1
12 XM_006338476.1
13 XM_006338479.1
14 XM_006338571.1
15 XM_006338585.1
16 XM_006338755.1
17 XM_006338865.1
18 XM_006339100.1
19 XM_006339298.1
20 XM_006339301.1
21 XM_006339447.1
22 XM_006339954.1
23 XM_006340100.1
24 XM_006340341.1
25 XM_006340582.1
26 XM_006341113.1
27 XM_006341347.1
28 XM_006341580.1
29 XM_006342063.1
30 XM_006342197.1
31 XM_006342416.1
32 XM_006342622.1
33 XM_006342669.1
34 XM_006343137.1
35 XM_006343181.1
36 XM_006343755.1
37 XM_006343812.1
38 XM_006344047.1
39 XM_006344629.1
40 XM_006345016.1
41 XM_006345120.1
42 XM_006345153.1
43 XM_006345269.1
44 XM_006345468.1
45 XM_006345543.1
46 XM_006345861.1
47 XM_006346072.1
48 XM_006346404.1
49 XM_006346448.1
50 XM_006346660.1
51 XM_006346817.1
52 XM_006347014.1
53 XM_006347096.1
54 XM_006347213.1
55 XM_006347338.1
56 XM_006347465.1
57 XM_006347495.1
58 XM_006347981.1
59 XM_006348020.1
60 XM_006348123.1
61 XM_006348626.1
62 XM_006348850.1
63 XM_006348922.1
64 XM_006349177.1
65 XM_006349203.1
66 XM_006349463.1
67 XM_006349506.1
68 XM_006349537.1
69 XM_006349841.1
70 XM_006349851.1
71 XM_006349900.1
72 XM_006349963.1
73 XM_006350226.1
74 XM_006350719.1
75 XM_006350766.1
76 XM_006350949.1
77 XM_006351206.1
78 XM_006351425.1
79 XM_006351548.1
80 XM_006351647.1
81 XM_006351988.1
82 XM_006352155.1
83 XM_006352265.1
84 XM_006352520.1
85 XM_006352641.1
86 XM_006352683.1
87 XM_006352816.1
88 XM_006353232.1
89 XM_006353403.1
90 XM_006353447.1
91 XM_006353708.1
92 XM_006353940.1
93 XM_006354010.1
94 XM_006354174.1
95 XM_006354378.1
96 XM_006354486.1
97 XM_006354671.1
98 XM_006355035.1
99 XM_006355052.1
100 XM_006355237.1
101 XM_006355639.1
102 XM_006356236.1
103 XM_006356279.1
104 XM_006356556.1
105 XM_006356934.1
106 XM_006357865.1
107 XM_006357932.1
108 XM_006357970.1
109 XM_006358149.1
110 XM_006358168.1
111 XM_006358379.1
112 XM_006358510.1
113 XM_006358602.1
114 XM_006358829.1
115 XM_006358878.1
116 XM_006359400.1
117 XM_006359421.1
118 XM_006359710.1
119 XM_006359817.1
120 XM_006360049.1
121 XM_006360050.1
122 XM_006360332.1
123 XM_006360486.1
124 XM_006360672.1
125 XM_006360766.1
126 XM_006360910.1
127 XM_006361077.1
128 XM_006361110.1
129 XM_006361155.1
130 XM_006361828.1
131 XM_006361971.1
132 XM_006362042.1
133 XM_006362062.1
134 XM_006362226.1
135 XM_006362518.1
136 XM_006362951.1
137 XM_006363348.1
138 XM_006363411.1
139 XM_006363560.1
140 XM_006363861.1
141 XM_006364193.1
142 XM_006364408.1
143 XM_006364589.1
144 XM_006365423.1
145 XM_006365697.1
146 XM_006366030.1
147 XM_006366231.1
148 XM_006366281.1
149 XM_006366285.1
150 XM_006366335.1
151 XM_006366338.1
152 XM_006366393.1
153 XM_006366637.1
154 XM_006366642.1
155 XM_006366670.1
156 XM_006366683.1
157 XM_006366913.1
158 XM_006366927.1
159 XM_006367033.1
160 XM_006367106.1
161 XM_006367173.1
162 XM_006367240.1
163 XM_006367258.1
164 XM_006367333.1
165 XM_006367354.1
166 XM_006367403.1
167 XM_006367410.1
168 XM_006367724.1
169 XM_006367924.1
170 XM_006368018.1
171 XM_006368024.1
172 XR_367283.1
173 XR_367391.1
174 XR_367525.1
175 XR_367933.1
176 XR_368031.1
177 XR_368291.1
178 XR_368378.1
179 XR_368415.1
180 XR_368725.1
181 XR_368894.1
182 XR_369062.1
183 XR_369070.1
184 XR_369085.1
